Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-who.fhir.smart-immunizations-measles.json	24616	-	1	0	0	0	0	0	8	129	0	0	0	0	0	0	0	1	0	0	205	206	0	0	0	0	15	0	1
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesCIMR.json	1595	8	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	19	12	0	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesEval.json	1397	6	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	16	10	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesMR.json	2094	7	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0	0	0	0	20	12	0	0	0	0	1	0	1
fsh-generated/resources/ActorDefinition-CommunityHealthWorker.json	760	5	1	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	12	16	0	0	0	0	8	0	0
fsh-generated/resources/ActorDefinition-EPIManager.json	728	4	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	12	16	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-HealthWorker.json	559	4	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	23	16	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ICD11.json	5865	17	0	0	1	0	0	0	0	37	0	0	1	0	0	0	0	0	0	0	49	29434	0	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-IMMZ.C.json	3278	9	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	25	233	0	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-IMMZ.D1.json	2732	8	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	23	170	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ.D4.json	1636	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	15	165	0	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-VaccineProducts.json	972	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	13	173	0	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-IMMZ.C.ConceptMap.json	7479	19	1	0	0	0	0	0	1	756	0	0	0	0	0	0	0	0	0	0	53	66	0	0	0	0	9	0	0
fsh-generated/resources/ConceptMap-IMMZ.D1.ConceptMap.json	6755	18	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	0	0	50	65	0	0	0	0	10	0	0
fsh-generated/resources/ConceptMap-IMMZ.D4.ConceptMap.json	6411	17	0	0	0	0	0	0	1	251	0	0	0	0	0	0	0	0	0	0	57	70	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZCSexToAdministrativeGender.json	2382	7	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	27	31	0	0	0	0	1	0	0
fsh-generated/resources/Immunization-Immunization1.json	890	6	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	15	18	0	0	0	0	0	0	1
fsh-generated/resources/Measure-IMMZIND05.json	3320	8	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	1	0	0	21	11	0	0	0	0	0	0	0
fsh-generated/resources/Measure-IMMZIND40.json	3321	9	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	20	12	0	0	0	0	1	0	0
fsh-generated/resources/Medication-Vaccine-MSDMMRVaxPro.json	1020	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0	0
fsh-generated/resources/Medication-Vaccine-SIIMeasles.json	711	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-VaccineProposal1.json	459	4	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	15	0	0	0	0	0	0	0
fsh-generated/resources/Patient-P123456.json	287	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	11	0	0	0	0	0	0	0
fsh-generated/resources/Patient-P654321.json	287	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTMeasles.json	1539	6	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	17	9	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTMeaslesCI.json	2241	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	18	10	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZDTUmbrella.json	1922	6	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	17	9	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-IMMZD1ClientHistoryMeasles.json	6781	15	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	65	18245	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-QIMMZCRegisterClient.json	9279	21	0	0	0	0	0	0	1	28	0	0	0	0	0	0	0	0	0	0	79	200	0	0	0	0	11	0	0
fsh-generated/resources/Questionnaire-QIMMZD4CheckContraindicationsMeasles.json	2457	7	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	26	204	0	0	0	0	1	0	0
